order_id,status
0,in transit
1,in transit
2,in transit
3,delivered
4,delivered
5,delivered
6,delivered
7,delivered
8,delivered
9,in transit
10,in transit
11,delivered
12,delivered
13,in transit
14,in transit
15,delivered
16,delivered
17,delivered
18,in transit
19,delivered
20,in transit
21,in transit
22,delivered
23,delivered
24,in transit
25,delivered
26,in transit
27,in transit
28,in transit
29,in transit
30,in transit
31,delivered
32,in transit
33,in transit
34,delivered
35,delivered
36,delivered
37,delivered
38,delivered
39,in transit
40,delivered
41,in transit
42,delivered
43,in transit
44,delivered
45,in transit
46,in transit
47,in transit
48,delivered
49,in transit
50,delivered
51,in transit
52,delivered
53,in transit
54,in transit
55,in transit
56,delivered
57,in transit
58,delivered
59,delivered
60,delivered
61,delivered
62,in transit
63,in transit
64,in transit
65,in transit
66,delivered
67,in transit
68,delivered
69,in transit
70,delivered
71,delivered
72,delivered
73,in transit
74,delivered
75,delivered
76,delivered
77,delivered
78,delivered
79,in transit
80,delivered
81,delivered
82,delivered
83,delivered
84,delivered
85,in transit
86,delivered
87,in transit
88,in transit
89,in transit
90,delivered
91,in transit
92,delivered
93,in transit
94,delivered
95,in transit
96,in transit
97,in transit
98,delivered
99,in transit
100,delivered
101,delivered
102,in transit
103,in transit
104,delivered
105,delivered
106,in transit
107,in transit
108,in transit
109,delivered
110,in transit
111,delivered
112,delivered
113,delivered
114,delivered
115,in transit
116,in transit
117,delivered
118,in transit
119,delivered
120,in transit
121,in transit
122,in transit
123,in transit
124,delivered
125,in transit
126,in transit
127,delivered
128,delivered
129,in transit
130,in transit
131,delivered
132,in transit
133,delivered
134,delivered
135,delivered
136,delivered
137,delivered
138,delivered
139,delivered
140,delivered
141,delivered
142,delivered
143,in transit
144,in transit
145,delivered
146,in transit
147,delivered
148,delivered
149,delivered
150,in transit
151,delivered
152,in transit
153,in transit
154,in transit
155,in transit
156,in transit
157,delivered
158,delivered
159,in transit
160,delivered
161,delivered
162,delivered
163,delivered
164,delivered
165,in transit
166,in transit
167,delivered
168,delivered
169,delivered
170,delivered
171,delivered
172,in transit
173,delivered
174,delivered
175,delivered
176,delivered
177,in transit
178,delivered
179,in transit
180,delivered
181,delivered
182,delivered
183,in transit
184,in transit
185,in transit
186,in transit
187,in transit
188,delivered
189,in transit
190,in transit
191,in transit
192,delivered
193,delivered
194,delivered
195,delivered
196,delivered
197,in transit
198,in transit
199,in transit
200,in transit
201,delivered
202,in transit
203,in transit
204,delivered
205,delivered
206,in transit
207,delivered
208,delivered
209,in transit
210,in transit
211,in transit
212,in transit
213,delivered
214,in transit
215,in transit
216,in transit
217,delivered
218,delivered
219,delivered
220,delivered
221,in transit
222,delivered
223,delivered
224,in transit
225,in transit
226,in transit
227,in transit
228,delivered
229,delivered
230,delivered
231,in transit
232,delivered
233,in transit
234,delivered
235,delivered
236,in transit
237,in transit
238,in transit
239,delivered
240,delivered
241,in transit
242,delivered
243,in transit
244,in transit
245,in transit
246,in transit
247,delivered
248,in transit
249,delivered
250,in transit
251,in transit
252,in transit
253,delivered
254,in transit
255,in transit
256,in transit
257,in transit
258,in transit
259,delivered
260,in transit
261,delivered
262,delivered
263,in transit
264,in transit
265,in transit
266,in transit
267,in transit
268,delivered
269,in transit
270,in transit
271,in transit
272,delivered
273,in transit
274,in transit
275,in transit
276,delivered
277,in transit
278,in transit
279,delivered
280,delivered
281,in transit
282,in transit
283,delivered
284,in transit
285,delivered
286,delivered
287,delivered
288,in transit
289,delivered
290,in transit
291,delivered
292,in transit
293,in transit
294,delivered
295,in transit
296,delivered
297,delivered
298,delivered
299,in transit
300,delivered
301,in transit
302,in transit
303,in transit
304,in transit
305,delivered
306,in transit
307,in transit
308,in transit
309,delivered
310,in transit
311,in transit
312,in transit
